TrackID,Song,Artist,ReleaseYear,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,DurationMS,TimeSignature,Region
0iNXcid1Ro7OLe4L6fFfLG,All Day (Flex),Jay Park,2019,0.835,0.645,0,-5.227,1,0.128,0.0194,0.0,0.33,0.527,97.987,219053,4,Eastern
3ZxfehzRtB3oJcBuxWXFZQ,It's Your Thing,The Isley Brothers,1969,0.376,0.67,10,-9.273,1,0.0854,0.0727,2.52e-06,0.0718,0.837,185.503,169293,4,Western
3Gf5nttwcX9aaSQXRWidEZ,Ride Wit Me,Nelly,2000,0.85,0.7,7,-6.49,1,0.0478,0.0616,1.8e-06,0.244,0.722,101.875,291782,4,Western
6XyFNu5mbPcIIdiTCHS3qH,Aquaman,Jay Park,2016,0.699,0.87,10,-5.216,1,0.232,0.0856,0.0,0.0507,0.729,96.945,252367,4,Eastern
4UeBknW6SpdoPumvc5r54O,HANGANG,Hoody,2017,0.685,0.559,11,-6.005,1,0.0543,0.195,0.0,0.168,0.765,109.159,200488,4,Eastern
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),Shakira,2005,0.778,0.824,10,-5.892,0,0.0712,0.284,0.0,0.405,0.756,100.024,218093,4,Western
2lnzGkdtDj5mtlcOW2yRtG,"Whenever, Wherever",Shakira,2001,0.793,0.832,1,-4.862,0,0.0406,0.236,1.12e-05,0.202,0.872,107.661,196160,4,Western
2igbKtoBMXdYgYPkCpl0V4,Body Moves,DNCE,2016,0.655,0.693,5,-5.148,0,0.0372,0.00166,0.0,0.0398,0.868,102.028,236453,4,Western
59FBFyeST1vqN8G41YgFS6,SHAKE IT,SISTAR,2015,0.778,0.957,11,-2.57,0,0.0735,0.0234,0.0,0.715,0.611,118.997,208507,4,Eastern
3u4dHSUNQx1cY6zNo2XxWr,Dangerous,GRAY,2013,0.792,0.858,1,-4.438,1,0.156,0.0896,0.0,0.0758,0.839,95.974,201089,4,Eastern
5fSCS6vQ7UkC1KW87wOYUv,In My Head,GRAY,2013,0.75,0.753,6,-5.428,0,0.0988,0.0672,0.0,0.258,0.876,114.992,154186,4,Eastern
2PrGT0zUrne2PXu8kTCweT,Night Flower,Primary,2017,0.742,0.746,5,-4.169,0,0.046,0.0332,0.0,0.2,0.894,106.949,183053,4,Eastern
2VJOpzv5sBpstCX9venJr5,Rollin',Brave Girls,2017,0.691,0.878,1,-3.902,1,0.0934,0.0303,0.0,0.193,0.559,124.935,197694,4,Eastern
7fwzRygAKtUrW3oPm9gRSI,LOVE,Primary,2012,0.795,0.735,1,-5.861,1,0.0891,0.138,0.0,0.117,0.826,105.021,262008,4,Eastern
